complete_result,article,document,question_truth,answer
"{'pregunta': '¿Cuál es el objetivo de las disposiciones reguladoras sobre la circulación de peatones y vehículos en la Ciudad de México?', 'respuesta': 'El objetivo de estas disposiciones es regular la circulación de peatones y vehículos en la vía pública, así como garantizar la seguridad vial en la Ciudad de México.', 'articulo': 'Artículo 1'}","Artículo 1.- El presente reglamento tiene por objeto regular la circulación de peatones y vehículos en la vía 
pública y la seguridad vial en la Ciudad de México.  
 
Las disposiciones de este reglamento son aplicables a peatones, ciclistas, conductores, pasajeros y 
propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero y que circule en el territorio 
de la Ciudad de México. En el presente ordenamiento se establecen las normas respecto a sus movimientos 
y estacionamiento, en observancia a lo establecido en las leyes, reglamentos, acuerdos, decretos y 
normatividad local vigente, así como las maniobras de ascenso y descenso de pasajeros o de carga y 
descarga. De igual forma, determina las condiciones legales y de seguridad a las que se deben ajustar los 
vehículos y sus conductores para su circulación, y establece los esquemas de sanciones por la comisión de 
infracciones a los preceptos contenidos en el presente reglamento.  
 
Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones 
de este Reglamento. Corresponde a la Consejería Jurídica y de Servicios Legales, mediante la Dirección 
Ejecutiva de Justicia Cívica, supervisar el cumplimiento de los trabajos a favor de la comunidad.  
 
En todo lo no previsto en el presente ordenamiento se aplicará de manera supletoria las disposiciones 
contenidas en la Ley de Movilidad de la Ciudad de México, en la Ley de Cultura Cívica de la Ciudad de México, 
Reglamento de la Ley de Cultura Cívica vigente en la Ciudad de México, en los programas ambientales y de 
seguridad vial. 
 
",d1a97b1e,¿Cuál es el objetivo de las disposiciones reguladoras sobre la circulación de peatones y vehículos en la Ciudad de México?,"El objetivo de estas disposiciones es regular la circulación de peatones y vehículos en la vía pública, así como garantizar la seguridad vial en la Ciudad de México."
"{'pregunta': '¿A quiénes se les aplican las normas establecidas en el reglamento sobre la circulación en la Ciudad de México?', 'respuesta': 'Las normas son aplicables a peatones, ciclistas, conductores, pasajeros y propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero que circule en el territorio de la Ciudad de México.', 'articulo': 'Artículo 1'}","Artículo 1.- El presente reglamento tiene por objeto regular la circulación de peatones y vehículos en la vía 
pública y la seguridad vial en la Ciudad de México.  
 
Las disposiciones de este reglamento son aplicables a peatones, ciclistas, conductores, pasajeros y 
propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero y que circule en el territorio 
de la Ciudad de México. En el presente ordenamiento se establecen las normas respecto a sus movimientos 
y estacionamiento, en observancia a lo establecido en las leyes, reglamentos, acuerdos, decretos y 
normatividad local vigente, así como las maniobras de ascenso y descenso de pasajeros o de carga y 
descarga. De igual forma, determina las condiciones legales y de seguridad a las que se deben ajustar los 
vehículos y sus conductores para su circulación, y establece los esquemas de sanciones por la comisión de 
infracciones a los preceptos contenidos en el presente reglamento.  
 
Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones 
de este Reglamento. Corresponde a la Consejería Jurídica y de Servicios Legales, mediante la Dirección 
Ejecutiva de Justicia Cívica, supervisar el cumplimiento de los trabajos a favor de la comunidad.  
 
En todo lo no previsto en el presente ordenamiento se aplicará de manera supletoria las disposiciones 
contenidas en la Ley de Movilidad de la Ciudad de México, en la Ley de Cultura Cívica de la Ciudad de México, 
Reglamento de la Ley de Cultura Cívica vigente en la Ciudad de México, en los programas ambientales y de 
seguridad vial. 
 
",d1a97b1e,¿A quiénes se les aplican las normas establecidas en el reglamento sobre la circulación en la Ciudad de México?,"Las normas son aplicables a peatones, ciclistas, conductores, pasajeros y propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero que circule en el territorio de la Ciudad de México."
"{'pregunta': '¿Qué se establece en el reglamento acerca de los vehículos y sus conductores?', 'respuesta': 'El reglamento determina las condiciones legales y de seguridad a las que deben ajustarse los vehículos y sus conductores para su circulación en la vía pública.', 'articulo': 'Artículo 1'}","Artículo 1.- El presente reglamento tiene por objeto regular la circulación de peatones y vehículos en la vía 
pública y la seguridad vial en la Ciudad de México.  
 
Las disposiciones de este reglamento son aplicables a peatones, ciclistas, conductores, pasajeros y 
propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero y que circule en el territorio 
de la Ciudad de México. En el presente ordenamiento se establecen las normas respecto a sus movimientos 
y estacionamiento, en observancia a lo establecido en las leyes, reglamentos, acuerdos, decretos y 
normatividad local vigente, así como las maniobras de ascenso y descenso de pasajeros o de carga y 
descarga. De igual forma, determina las condiciones legales y de seguridad a las que se deben ajustar los 
vehículos y sus conductores para su circulación, y establece los esquemas de sanciones por la comisión de 
infracciones a los preceptos contenidos en el presente reglamento.  
 
Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones 
de este Reglamento. Corresponde a la Consejería Jurídica y de Servicios Legales, mediante la Dirección 
Ejecutiva de Justicia Cívica, supervisar el cumplimiento de los trabajos a favor de la comunidad.  
 
En todo lo no previsto en el presente ordenamiento se aplicará de manera supletoria las disposiciones 
contenidas en la Ley de Movilidad de la Ciudad de México, en la Ley de Cultura Cívica de la Ciudad de México, 
Reglamento de la Ley de Cultura Cívica vigente en la Ciudad de México, en los programas ambientales y de 
seguridad vial. 
 
",d1a97b1e,¿Qué se establece en el reglamento acerca de los vehículos y sus conductores?,El reglamento determina las condiciones legales y de seguridad a las que deben ajustarse los vehículos y sus conductores para su circulación en la vía pública.
"{'pregunta': '¿Quién es responsable de aplicar sanciones por las infracciones a las disposiciones de este reglamento?', 'respuesta': 'Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones del reglamento.', 'articulo': 'Artículo 1'}","Artículo 1.- El presente reglamento tiene por objeto regular la circulación de peatones y vehículos en la vía 
pública y la seguridad vial en la Ciudad de México.  
 
Las disposiciones de este reglamento son aplicables a peatones, ciclistas, conductores, pasajeros y 
propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero y que circule en el territorio 
de la Ciudad de México. En el presente ordenamiento se establecen las normas respecto a sus movimientos 
y estacionamiento, en observancia a lo establecido en las leyes, reglamentos, acuerdos, decretos y 
normatividad local vigente, así como las maniobras de ascenso y descenso de pasajeros o de carga y 
descarga. De igual forma, determina las condiciones legales y de seguridad a las que se deben ajustar los 
vehículos y sus conductores para su circulación, y establece los esquemas de sanciones por la comisión de 
infracciones a los preceptos contenidos en el presente reglamento.  
 
Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones 
de este Reglamento. Corresponde a la Consejería Jurídica y de Servicios Legales, mediante la Dirección 
Ejecutiva de Justicia Cívica, supervisar el cumplimiento de los trabajos a favor de la comunidad.  
 
En todo lo no previsto en el presente ordenamiento se aplicará de manera supletoria las disposiciones 
contenidas en la Ley de Movilidad de la Ciudad de México, en la Ley de Cultura Cívica de la Ciudad de México, 
Reglamento de la Ley de Cultura Cívica vigente en la Ciudad de México, en los programas ambientales y de 
seguridad vial. 
 
",d1a97b1e,¿Quién es responsable de aplicar sanciones por las infracciones a las disposiciones de este reglamento?,Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones del reglamento.
"{'pregunta': '¿Qué sucede en caso de que no se prevea una situación específica en el reglamento sobre tráfico?', 'respuesta': 'En lo no previsto en el reglamento, se aplicará de manera supletoria las disposiciones contenidas en la Ley de Movilidad de la Ciudad de México y otras normativas vigentes relacionadas.', 'articulo': 'Artículo 1'}","Artículo 1.- El presente reglamento tiene por objeto regular la circulación de peatones y vehículos en la vía 
pública y la seguridad vial en la Ciudad de México.  
 
Las disposiciones de este reglamento son aplicables a peatones, ciclistas, conductores, pasajeros y 
propietarios de cualquier tipo de vehículo matriculado en el país o el extranjero y que circule en el territorio 
de la Ciudad de México. En el presente ordenamiento se establecen las normas respecto a sus movimientos 
y estacionamiento, en observancia a lo establecido en las leyes, reglamentos, acuerdos, decretos y 
normatividad local vigente, así como las maniobras de ascenso y descenso de pasajeros o de carga y 
descarga. De igual forma, determina las condiciones legales y de seguridad a las que se deben ajustar los 
vehículos y sus conductores para su circulación, y establece los esquemas de sanciones por la comisión de 
infracciones a los preceptos contenidos en el presente reglamento.  
 
Corresponde a la Secretaría de Seguridad Ciudadana aplicar sanciones por infracciones a las disposiciones 
de este Reglamento. Corresponde a la Consejería Jurídica y de Servicios Legales, mediante la Dirección 
Ejecutiva de Justicia Cívica, supervisar el cumplimiento de los trabajos a favor de la comunidad.  
 
En todo lo no previsto en el presente ordenamiento se aplicará de manera supletoria las disposiciones 
contenidas en la Ley de Movilidad de la Ciudad de México, en la Ley de Cultura Cívica de la Ciudad de México, 
Reglamento de la Ley de Cultura Cívica vigente en la Ciudad de México, en los programas ambientales y de 
seguridad vial. 
 
",d1a97b1e,¿Qué sucede en caso de que no se prevea una situación específica en el reglamento sobre tráfico?,"En lo no previsto en el reglamento, se aplicará de manera supletoria las disposiciones contenidas en la Ley de Movilidad de la Ciudad de México y otras normativas vigentes relacionadas."
"{'pregunta': '¿Cuáles son los principios que garantizan la circulación en condiciones de seguridad vial y cómo deben actuar las autoridades al respecto?', 'respuesta': 'La circulación en condiciones de seguridad vial es un derecho y todas las autoridades deben adoptar medidas para garantizar la protección de la vida e integridad física de los usuarios, especialmente de los más vulnerables, como los peatones y las personas con discapacidad.', 'articulo': 'Artículo 2, inciso I'}","Artículo 2.- La aplicación de este reglamento estará basada en los siguientes principios rectores:  
 
I.  La circulación en condiciones de seguridad vial es un derecho, por lo que todas las autoridades en 
el ámbito de su competencia deben adoptar medidas para garantizar la protección de la vida e 
integridad física de las personas, sobre todo de los usuarios vulnerables de la vía; 
 
II.  La circulación en la vía pública debe efectuarse con cortesía, por lo que los ciudadanos deben 
observar un trato respetuoso hacia el resto de los usuarios de la vía, así como a los agentes y 
personal de apoyo vial;  
 
III.  Se evitará la colocación de objetos que representen un obstáculo a la circulación de vehículos y 
tránsito de peatones; 
 
IV.  Se dará prioridad en la utilización del espacio vial de acuerdo a la siguiente jerarquía 
 
a)  Peatones; en especial personas con discapacidad y movilidad limitada 
b)  Ciclistas; 
c)  Usuarios del servicio de transporte público de pasajeros; 
d)  Prestadores del servicio de transporte público de pasajeros; 
e)  Prestadores del servicio de transporte de carga y distribución de mercancías; y 
f)  Usuarios de transporte particular automotor y motociclistas. 
 
V.  Todos los usuarios de la vía, que son los enlistados en la fracción anterior, y en especial los 
conductores de todo tipo de vehículos motorizados, deben responsabilizarse del riesgo que 
implican para los demás usuarios de la vía, por lo que su conducción se realizará de manera 
precautoria y respetando las disposiciones del presente Reglamento; y 
 
VI.  El uso del automóvil particular deberá ser de manera racional, con el objetivo de mejorar las 
condiciones de salud y protección del ambiente. 
 
Estos principios deben ser difundidos por autoridades y promotores voluntarios de forma permanente a 
través de campañas, programas y cursos. 
 
La Secretaría en coordinación con Seguridad Ciudadana, diseñará y llevará a cabo campañas permanentes 
de cultura de movilidad y seguridad vial que garanticen la concientización y respeto a la seguridad de todos 
los usuarios de la vía, del mismo modo, se realizarán acciones para inhibir el consumo de alcohol, 
narcóticos, estupefacientes o psicotrópicos al conducir. 
 
",ebe417a9,¿Cuáles son los principios que garantizan la circulación en condiciones de seguridad vial y cómo deben actuar las autoridades al respecto?,"La circulación en condiciones de seguridad vial es un derecho y todas las autoridades deben adoptar medidas para garantizar la protección de la vida e integridad física de los usuarios, especialmente de los más vulnerables, como los peatones y las personas con discapacidad."
"{'pregunta': '¿Qué se entiende por cortesía en la circulación y cómo deberían comportarse los ciudadanos en la vía pública?', 'respuesta': 'La circulación debe hacerse con cortesía, observando un trato respetuoso hacia todos los usuarios de la vía, así como hacia los agentes y personal de apoyo vial.', 'articulo': 'Artículo 2, inciso II'}","Artículo 2.- La aplicación de este reglamento estará basada en los siguientes principios rectores:  
 
I.  La circulación en condiciones de seguridad vial es un derecho, por lo que todas las autoridades en 
el ámbito de su competencia deben adoptar medidas para garantizar la protección de la vida e 
integridad física de las personas, sobre todo de los usuarios vulnerables de la vía; 
 
II.  La circulación en la vía pública debe efectuarse con cortesía, por lo que los ciudadanos deben 
observar un trato respetuoso hacia el resto de los usuarios de la vía, así como a los agentes y 
personal de apoyo vial;  
 
III.  Se evitará la colocación de objetos que representen un obstáculo a la circulación de vehículos y 
tránsito de peatones; 
 
IV.  Se dará prioridad en la utilización del espacio vial de acuerdo a la siguiente jerarquía 
 
a)  Peatones; en especial personas con discapacidad y movilidad limitada 
b)  Ciclistas; 
c)  Usuarios del servicio de transporte público de pasajeros; 
d)  Prestadores del servicio de transporte público de pasajeros; 
e)  Prestadores del servicio de transporte de carga y distribución de mercancías; y 
f)  Usuarios de transporte particular automotor y motociclistas. 
 
V.  Todos los usuarios de la vía, que son los enlistados en la fracción anterior, y en especial los 
conductores de todo tipo de vehículos motorizados, deben responsabilizarse del riesgo que 
implican para los demás usuarios de la vía, por lo que su conducción se realizará de manera 
precautoria y respetando las disposiciones del presente Reglamento; y 
 
VI.  El uso del automóvil particular deberá ser de manera racional, con el objetivo de mejorar las 
condiciones de salud y protección del ambiente. 
 
Estos principios deben ser difundidos por autoridades y promotores voluntarios de forma permanente a 
través de campañas, programas y cursos. 
 
La Secretaría en coordinación con Seguridad Ciudadana, diseñará y llevará a cabo campañas permanentes 
de cultura de movilidad y seguridad vial que garanticen la concientización y respeto a la seguridad de todos 
los usuarios de la vía, del mismo modo, se realizarán acciones para inhibir el consumo de alcohol, 
narcóticos, estupefacientes o psicotrópicos al conducir. 
 
",ebe417a9,¿Qué se entiende por cortesía en la circulación y cómo deberían comportarse los ciudadanos en la vía pública?,"La circulación debe hacerse con cortesía, observando un trato respetuoso hacia todos los usuarios de la vía, así como hacia los agentes y personal de apoyo vial."
"{'pregunta': '¿Qué prioridad se debe dar a los diferentes usuarios de la vía pública según su tipo?', 'respuesta': 'La prioridad se debe dar en el siguiente orden: peatones, especialmente aquellos con discapacidad y movilidad limitada; ciclistas; usuarios del servicio de transporte público de pasajeros; prestadores del servicio de transporte público de pasajeros; prestadores del servicio de transporte de carga, y finalmente, usuarios de transporte particular automotor y motociclistas.', 'articulo': 'Artículo 2, inciso IV'}","Artículo 2.- La aplicación de este reglamento estará basada en los siguientes principios rectores:  
 
I.  La circulación en condiciones de seguridad vial es un derecho, por lo que todas las autoridades en 
el ámbito de su competencia deben adoptar medidas para garantizar la protección de la vida e 
integridad física de las personas, sobre todo de los usuarios vulnerables de la vía; 
 
II.  La circulación en la vía pública debe efectuarse con cortesía, por lo que los ciudadanos deben 
observar un trato respetuoso hacia el resto de los usuarios de la vía, así como a los agentes y 
personal de apoyo vial;  
 
III.  Se evitará la colocación de objetos que representen un obstáculo a la circulación de vehículos y 
tránsito de peatones; 
 
IV.  Se dará prioridad en la utilización del espacio vial de acuerdo a la siguiente jerarquía 
 
a)  Peatones; en especial personas con discapacidad y movilidad limitada 
b)  Ciclistas; 
c)  Usuarios del servicio de transporte público de pasajeros; 
d)  Prestadores del servicio de transporte público de pasajeros; 
e)  Prestadores del servicio de transporte de carga y distribución de mercancías; y 
f)  Usuarios de transporte particular automotor y motociclistas. 
 
V.  Todos los usuarios de la vía, que son los enlistados en la fracción anterior, y en especial los 
conductores de todo tipo de vehículos motorizados, deben responsabilizarse del riesgo que 
implican para los demás usuarios de la vía, por lo que su conducción se realizará de manera 
precautoria y respetando las disposiciones del presente Reglamento; y 
 
VI.  El uso del automóvil particular deberá ser de manera racional, con el objetivo de mejorar las 
condiciones de salud y protección del ambiente. 
 
Estos principios deben ser difundidos por autoridades y promotores voluntarios de forma permanente a 
través de campañas, programas y cursos. 
 
La Secretaría en coordinación con Seguridad Ciudadana, diseñará y llevará a cabo campañas permanentes 
de cultura de movilidad y seguridad vial que garanticen la concientización y respeto a la seguridad de todos 
los usuarios de la vía, del mismo modo, se realizarán acciones para inhibir el consumo de alcohol, 
narcóticos, estupefacientes o psicotrópicos al conducir. 
 
",ebe417a9,¿Qué prioridad se debe dar a los diferentes usuarios de la vía pública según su tipo?,"La prioridad se debe dar en el siguiente orden: peatones, especialmente aquellos con discapacidad y movilidad limitada; ciclistas; usuarios del servicio de transporte público de pasajeros; prestadores del servicio de transporte público de pasajeros; prestadores del servicio de transporte de carga, y finalmente, usuarios de transporte particular automotor y motociclistas."
"{'pregunta': '¿Qué responsabilidades tienen los conductores de vehículos motorizados en relación con el riesgo que presentan para otros usuarios?', 'respuesta': 'Todos los conductores de vehículos motorizados deben responsabilizarse del riesgo que implican para otros usuarios y deben conducir de manera precautoria, respetando las disposiciones del reglamento.', 'articulo': 'Artículo 2, inciso V'}","Artículo 2.- La aplicación de este reglamento estará basada en los siguientes principios rectores:  
 
I.  La circulación en condiciones de seguridad vial es un derecho, por lo que todas las autoridades en 
el ámbito de su competencia deben adoptar medidas para garantizar la protección de la vida e 
integridad física de las personas, sobre todo de los usuarios vulnerables de la vía; 
 
II.  La circulación en la vía pública debe efectuarse con cortesía, por lo que los ciudadanos deben 
observar un trato respetuoso hacia el resto de los usuarios de la vía, así como a los agentes y 
personal de apoyo vial;  
 
III.  Se evitará la colocación de objetos que representen un obstáculo a la circulación de vehículos y 
tránsito de peatones; 
 
IV.  Se dará prioridad en la utilización del espacio vial de acuerdo a la siguiente jerarquía 
 
a)  Peatones; en especial personas con discapacidad y movilidad limitada 
b)  Ciclistas; 
c)  Usuarios del servicio de transporte público de pasajeros; 
d)  Prestadores del servicio de transporte público de pasajeros; 
e)  Prestadores del servicio de transporte de carga y distribución de mercancías; y 
f)  Usuarios de transporte particular automotor y motociclistas. 
 
V.  Todos los usuarios de la vía, que son los enlistados en la fracción anterior, y en especial los 
conductores de todo tipo de vehículos motorizados, deben responsabilizarse del riesgo que 
implican para los demás usuarios de la vía, por lo que su conducción se realizará de manera 
precautoria y respetando las disposiciones del presente Reglamento; y 
 
VI.  El uso del automóvil particular deberá ser de manera racional, con el objetivo de mejorar las 
condiciones de salud y protección del ambiente. 
 
Estos principios deben ser difundidos por autoridades y promotores voluntarios de forma permanente a 
través de campañas, programas y cursos. 
 
La Secretaría en coordinación con Seguridad Ciudadana, diseñará y llevará a cabo campañas permanentes 
de cultura de movilidad y seguridad vial que garanticen la concientización y respeto a la seguridad de todos 
los usuarios de la vía, del mismo modo, se realizarán acciones para inhibir el consumo de alcohol, 
narcóticos, estupefacientes o psicotrópicos al conducir. 
 
",ebe417a9,¿Qué responsabilidades tienen los conductores de vehículos motorizados en relación con el riesgo que presentan para otros usuarios?,"Todos los conductores de vehículos motorizados deben responsabilizarse del riesgo que implican para otros usuarios y deben conducir de manera precautoria, respetando las disposiciones del reglamento."
"{'pregunta': '¿Cuál es el objetivo del uso racional del automóvil particular y cómo impacta en el medio ambiente?', 'respuesta': 'El uso del automóvil particular debe ser racional para mejorar las condiciones de salud y protección del medio ambiente.', 'articulo': 'Artículo 2, inciso VI'}","Artículo 2.- La aplicación de este reglamento estará basada en los siguientes principios rectores:  
 
I.  La circulación en condiciones de seguridad vial es un derecho, por lo que todas las autoridades en 
el ámbito de su competencia deben adoptar medidas para garantizar la protección de la vida e 
integridad física de las personas, sobre todo de los usuarios vulnerables de la vía; 
 
II.  La circulación en la vía pública debe efectuarse con cortesía, por lo que los ciudadanos deben 
observar un trato respetuoso hacia el resto de los usuarios de la vía, así como a los agentes y 
personal de apoyo vial;  
 
III.  Se evitará la colocación de objetos que representen un obstáculo a la circulación de vehículos y 
tránsito de peatones; 
 
IV.  Se dará prioridad en la utilización del espacio vial de acuerdo a la siguiente jerarquía 
 
a)  Peatones; en especial personas con discapacidad y movilidad limitada 
b)  Ciclistas; 
c)  Usuarios del servicio de transporte público de pasajeros; 
d)  Prestadores del servicio de transporte público de pasajeros; 
e)  Prestadores del servicio de transporte de carga y distribución de mercancías; y 
f)  Usuarios de transporte particular automotor y motociclistas. 
 
V.  Todos los usuarios de la vía, que son los enlistados en la fracción anterior, y en especial los 
conductores de todo tipo de vehículos motorizados, deben responsabilizarse del riesgo que 
implican para los demás usuarios de la vía, por lo que su conducción se realizará de manera 
precautoria y respetando las disposiciones del presente Reglamento; y 
 
VI.  El uso del automóvil particular deberá ser de manera racional, con el objetivo de mejorar las 
condiciones de salud y protección del ambiente. 
 
Estos principios deben ser difundidos por autoridades y promotores voluntarios de forma permanente a 
través de campañas, programas y cursos. 
 
La Secretaría en coordinación con Seguridad Ciudadana, diseñará y llevará a cabo campañas permanentes 
de cultura de movilidad y seguridad vial que garanticen la concientización y respeto a la seguridad de todos 
los usuarios de la vía, del mismo modo, se realizarán acciones para inhibir el consumo de alcohol, 
narcóticos, estupefacientes o psicotrópicos al conducir. 
 
",ebe417a9,¿Cuál es el objetivo del uso racional del automóvil particular y cómo impacta en el medio ambiente?,El uso del automóvil particular debe ser racional para mejorar las condiciones de salud y protección del medio ambiente.
